drug_name,drug_ingredient,drug_category,food_name,food_category,risk_level,interaction_mechanism,clinical_effect,recommendation,alternative_food,source
암로디핀,암로디핀베실산염,칼슘채널차단제(혈압약),자몽,과일,danger,자몽의 푸라노쿠마린이 CYP3A4 효소를 억제하여 약물 대사를 방해,혈중 약물 농도 2-3배 상승으로 저혈압/어지러움/두통 위험 증가,자몽 및 자몽주스 섭취를 완전히 피하세요,오렌지/사과/배/포도,FDA Drug Interactions Guide
암로디핀,암로디핀베실산염,칼슘채널차단제(혈압약),자몽주스,음료,danger,자몽의 푸라노쿠마린이 CYP3A4 효소를 억제하여 약물 대사를 방해,혈중 약물 농도 2-3배 상승으로 저혈압/어지러움/두통 위험 증가,자몽주스 대신 다른 과일주스를 선택하세요,오렌지주스/사과주스/포도주스,FDA Drug Interactions Guide
암로디핀,암로디핀베실산염,칼슘채널차단제(혈압약),술,알코올,caution,알코올이 혈관 확장 효과를 증가시켜 혈압 강하 작용 강화,과도한 혈압 저하로 어지러움/실신 위험,음주를 피하거나 소량만 섭취하고 4시간 이상 간격 유지,무알코올 음료,약학정보원
암로디핀,암로디핀베실산염,칼슘채널차단제(혈압약),맥주,알코올,caution,알코올이 혈관 확장 효과를 증가시켜 혈압 강하 작용 강화,과도한 혈압 저하로 어지러움/실신 위험,맥주 섭취를 1잔 이하로 제한하세요,무알코올 맥주,약학정보원
암로디핀,암로디핀베실산염,칼슘채널차단제(혈압약),사과,과일,safe,알려진 상호작용 없음,해당 없음,안심하고 드셔도 됩니다,-,DrugBank
암로디핀,암로디핀베실산염,칼슘채널차단제(혈압약),오렌지,과일,safe,알려진 상호작용 없음,해당 없음,안심하고 드셔도 됩니다,-,DrugBank
암로디핀,암로디핀베실산염,칼슘채널차단제(혈압약),바나나,과일,safe,알려진 상호작용 없음,해당 없음,안심하고 드셔도 됩니다,-,DrugBank
암로디핀,암로디핀베실산염,칼슘채널차단제(혈압약),우유,유제품,safe,알려진 상호작용 없음,해당 없음,안심하고 드셔도 됩니다,-,DrugBank
암로디핀,암로디핀베실산염,칼슘채널차단제(혈압약),커피,카페인음료,caution,카페인이 일시적으로 혈압을 상승시킬 수 있음,약물의 혈압 강하 효과 감소 가능,하루 2잔 이하로 제한하고 복용 후 1시간 후 섭취 권장,디카페인 커피,PubMed Research
와파린,와파린나트륨,항응고제,청국장,발효식품,danger,청국장의 높은 비타민K가 와파린의 항응고 작용을 방해,혈전 형성 위험 증가/INR 수치 급격히 감소,청국장 섭취를 완전히 피하세요,두부/순두부,식약처 DUR
와파린,와파린나트륨,항응고제,낫토,발효식품,danger,낫토의 높은 비타민K가 와파린의 항응고 작용을 방해,혈전 형성 위험 증가/INR 수치 급격히 감소,낫토 섭취를 완전히 피하세요,두부/순두부,식약처 DUR
와파린,와파린나트륨,항응고제,시금치,녹색채소,warning,시금치의 비타민K가 와파린의 항응고 작용을 감소시킴,INR 수치 변동으로 출혈 또는 혈전 위험,일정한 양을 규칙적으로 섭취하고 급격한 섭취량 변화 피하기,양배추/당근,식약처 DUR
와파린,와파린나트륨,항응고제,브로콜리,녹색채소,warning,브로콜리의 비타민K가 와파린의 항응고 작용을 감소시킴,INR 수치 변동으로 출혈 또는 혈전 위험,일정한 양을 규칙적으로 섭취하고 급격한 섭취량 변화 피하기,콩나물/숙주,식약처 DUR
와파린,와파린나트륨,항응고제,케일,녹색채소,warning,케일의 높은 비타민K가 와파린의 항응고 작용을 감소시킴,INR 수치 변동으로 출혈 또는 혈전 위험,소량만 섭취하거나 피하세요,양상추/오이,식약처 DUR
와파린,와파린나트륨,항응고제,녹차,차류,caution,녹차의 비타민K가 와파린 효과에 영향,INR 수치 변동 가능,하루 1-2잔으로 제한하고 일정하게 유지,보리차/옥수수차,약학정보원
와파린,와파린나트륨,항응고제,크랜베리주스,음료,warning,크랜베리가 와파린 대사를 억제하여 출혈 위험 증가,INR 수치 상승으로 출혈 위험 증가,크랜베리주스 섭취를 피하거나 최소화하세요,사과주스/포도주스,FDA Drug Interactions Guide
와파린,와파린나트륨,항응고제,마늘,향신료,caution,마늘이 항응고 작용을 강화시킬 수 있음,출혈 위험 약간 증가,조리용 소량은 괜찮으나 마늘 보충제는 피하세요,-,PubMed Research
와파린,와파린나트륨,항응고제,술,알코올,warning,알코올이 와파린 대사에 영향을 미쳐 효과 변동,급성 음주시 INR 상승/만성 음주시 INR 감소,음주를 피하거나 최소화하세요,무알코올 음료,식약처 DUR
메트포르민,메트포르민염산염,당뇨병치료제,술,알코올,danger,알코올이 젖산 축적을 촉진하여 젖산산증 위험 증가,심각한 젖산산증으로 생명 위협 가능,음주를 완전히 피하세요,무알코올 음료,FDA Drug Interactions Guide
메트포르민,메트포르민염산염,당뇨병치료제,맥주,알코올,danger,알코올이 젖산 축적을 촉진하여 젖산산증 위험 증가,심각한 젖산산증으로 생명 위협 가능,맥주를 포함한 모든 알코올 음료를 피하세요,무알코올 맥주,FDA Drug Interactions Guide
메트포르민,메트포르민염산염,당뇨병치료제,자몽,과일,safe,알려진 상호작용 없음,해당 없음,안심하고 드셔도 됩니다,-,DrugBank
메트포르민,메트포르민염산염,당뇨병치료제,우유,유제품,safe,알려진 상호작용 없음,해당 없음,안심하고 드셔도 됩니다,-,DrugBank
메트포르민,메트포르민염산염,당뇨병치료제,고당분음식,당분,caution,고당분 섭취가 혈당 조절을 어렵게 함,약물의 혈당 강하 효과 감소,당분 섭취를 제한하세요,저당 과일/채소,약학정보원
로수바스타틴,로수바스타틴칼슘,스타틴(고지혈증약),자몽,과일,caution,자몽이 CYP3A4를 억제하나 로수바스타틴은 영향 적음,다른 스타틴보다 영향 적으나 주의 필요,대량 섭취는 피하고 적정량 유지,오렌지/사과,DrugBank
로수바스타틴,로수바스타틴칼슘,스타틴(고지혈증약),자몽주스,음료,caution,자몽이 CYP3A4를 억제하나 로수바스타틴은 영향 적음,다른 스타틴보다 영향 적으나 주의 필요,하루 200ml 이하로 제한,오렌지주스/사과주스,DrugBank
로수바스타틴,로수바스타틴칼슘,스타틴(고지혈증약),술,알코올,warning,알코올이 간 기능에 부담을 주어 근육 손상 위험 증가,근육통/횡문근융해증 위험 증가,음주를 피하거나 최소화하세요,무알코올 음료,약학정보원
로수바스타틴,로수바스타틴칼슘,스타틴(고지혈증약),오트밀,곡물,safe,알려진 상호작용 없음/콜레스테롤 저하에 도움,해당 없음,안심하고 드셔도 됩니다. 오히려 권장됩니다.,-,DrugBank
심바스타틴,심바스타틴,스타틴(고지혈증약),자몽,과일,danger,자몽의 푸라노쿠마린이 CYP3A4를 억제하여 약물 농도 급상승,횡문근융해증/근육 손상/신장 손상 위험,자몽 및 자몽주스를 완전히 피하세요,오렌지/사과/배,FDA Drug Interactions Guide
심바스타틴,심바스타틴,스타틴(고지혈증약),자몽주스,음료,danger,자몽의 푸라노쿠마린이 CYP3A4를 억제하여 약물 농도 급상승,횡문근융해증/근육 손상/신장 손상 위험,자몽주스를 완전히 피하세요,오렌지주스/사과주스,FDA Drug Interactions Guide
심바스타틴,심바스타틴,스타틴(고지혈증약),술,알코올,warning,알코올이 간 독성을 증가시킴,간 손상/근육 손상 위험 증가,음주를 피하거나 최소화하세요,무알코올 음료,약학정보원
아토르바스타틴,아토르바스타틴칼슘,스타틴(고지혈증약),자몽,과일,warning,자몽이 CYP3A4를 억제하여 약물 농도 상승,근육통/횡문근융해증 위험 증가,자몽 섭취를 최소화하거나 피하세요,오렌지/사과,FDA Drug Interactions Guide
아토르바스타틴,아토르바스타틴칼슘,스타틴(고지혈증약),자몽주스,음료,warning,자몽이 CYP3A4를 억제하여 약물 농도 상승,근육통/횡문근융해증 위험 증가,자몽주스를 피하세요,오렌지주스/사과주스,FDA Drug Interactions Guide
아스피린,아세틸살리실산,해열진통소염제,술,알코올,danger,알코올과 아스피린 모두 위장 점막 손상 유발,위장 출혈 위험 현저히 증가,음주 시 아스피린 복용을 피하세요,무알코올 음료,FDA Drug Interactions Guide
아스피린,아세틸살리실산,해열진통소염제,맥주,알코올,danger,알코올과 아스피린 모두 위장 점막 손상 유발,위장 출혈 위험 현저히 증가,맥주 섭취 시 아스피린 복용을 피하세요,무알코올 맥주,FDA Drug Interactions Guide
아스피린,아세틸살리실산,해열진통소염제,오렌지주스,음료,caution,산성 음료가 위장 자극을 증가시킬 수 있음,위장 불편감 가능,식후에 복용하고 물과 함께 섭취,우유/물,약학정보원
오메프라졸,오메프라졸,위산분비억제제,커피,카페인음료,caution,커피가 위산 분비를 촉진할 수 있음,약물의 위산 억제 효과 감소 가능,커피 섭취를 제한하세요,디카페인 커피/보리차,약학정보원
오메프라졸,오메프라졸,위산분비억제제,술,알코올,warning,알코올이 위산 분비를 촉진하고 위점막 손상,약물의 위산 억제 효과 감소/위장 손상,음주를 피하세요,무알코올 음료,약학정보원
오메프라졸,오메프라졸,위산분비억제제,우유,유제품,safe,알려진 상호작용 없음,해당 없음,안심하고 드셔도 됩니다,-,DrugBank
레보티록신,레보티록신나트륨,갑상선호르몬제,두유,콩제품,warning,콩의 이소플라본이 레보티록신 흡수를 방해,갑상선 호르몬 흡수 감소로 치료 효과 저하,약 복용 후 4시간 이상 간격을 두고 섭취,우유,FDA Drug Interactions Guide
레보티록신,레보티록신나트륨,갑상선호르몬제,두부,콩제품,caution,콩의 이소플라본이 레보티록신 흡수에 영향,갑상선 호르몬 흡수 감소 가능,약 복용과 식사 간격을 4시간 이상 유지,고기/생선,약학정보원
레보티록신,레보티록신나트륨,갑상선호르몬제,커피,카페인음료,warning,커피가 레보티록신 흡수를 30% 이상 감소시킴,갑상선 호르몬 흡수 저하로 치료 효과 감소,약 복용 후 1시간 이상 후에 커피 섭취,물,FDA Drug Interactions Guide
레보티록신,레보티록신나트륨,갑상선호르몬제,우유,유제품,warning,칼슘이 레보티록신 흡수를 방해,갑상선 호르몬 흡수 감소,약 복용 후 4시간 이상 간격을 두고 섭취,물,FDA Drug Interactions Guide
레보티록신,레보티록신나트륨,갑상선호르몬제,칼슘보충제,보충제,danger,칼슘이 레보티록신과 결합하여 흡수 차단,갑상선 호르몬 흡수 심각하게 저하,약 복용 후 4시간 이상 간격을 두고 섭취,-,FDA Drug Interactions Guide
레보티록신,레보티록신나트륨,갑상선호르몬제,철분제,보충제,danger,철분이 레보티록신과 결합하여 흡수 차단,갑상선 호르몬 흡수 심각하게 저하,약 복용 후 4시간 이상 간격을 두고 섭취,-,FDA Drug Interactions Guide
테트라사이클린,테트라사이클린염산염,항생제,우유,유제품,danger,칼슘이 테트라사이클린과 결합하여 흡수 차단,항생제 효과 현저히 감소,약 복용 전후 2시간 동안 유제품 피하기,물/주스,FDA Drug Interactions Guide
테트라사이클린,테트라사이클린염산염,항생제,치즈,유제품,danger,칼슘이 테트라사이클린과 결합하여 흡수 차단,항생제 효과 현저히 감소,약 복용 전후 2시간 동안 유제품 피하기,물/주스,FDA Drug Interactions Guide
테트라사이클린,테트라사이클린염산염,항생제,요거트,유제품,danger,칼슘이 테트라사이클린과 결합하여 흡수 차단,항생제 효과 현저히 감소,약 복용 전후 2시간 동안 유제품 피하기,물/주스,FDA Drug Interactions Guide
테트라사이클린,테트라사이클린염산염,항생제,철분제,보충제,danger,철분이 테트라사이클린과 결합하여 흡수 차단,항생제 효과 현저히 감소,약 복용 전후 2시간 동안 철분제 피하기,-,FDA Drug Interactions Guide
시프로플록사신,시프로플록사신염산염,항생제(퀴놀론계),우유,유제품,warning,칼슘이 시프로플록사신 흡수를 감소시킴,항생제 효과 감소,약 복용 전후 2시간 동안 유제품 피하기,물,FDA Drug Interactions Guide
시프로플록사신,시프로플록사신염산염,항생제(퀴놀론계),칼슘보충제,보충제,danger,칼슘이 시프로플록사신과 결합하여 흡수 차단,항생제 효과 현저히 감소,약 복용 전후 6시간 동안 칼슘보충제 피하기,-,FDA Drug Interactions Guide
시프로플록사신,시프로플록사신염산염,항생제(퀴놀론계),커피,카페인음료,warning,시프로플록사신이 카페인 대사를 억제,카페인 부작용(불안/불면/심계항진) 증가,카페인 섭취를 줄이세요,디카페인 커피/허브차,FDA Drug Interactions Guide
메트로니다졸,메트로니다졸,항생제/항원충제,술,알코올,danger,메트로니다졸이 알코올 대사를 차단(디설피람 유사 반응),심한 구역/구토/두통/홍조/심계항진,약 복용 중 및 복용 후 48시간 동안 금주,무알코올 음료,FDA Drug Interactions Guide
메트로니다졸,메트로니다졸,항생제/항원충제,맥주,알코올,danger,메트로니다졸이 알코올 대사를 차단(디설피람 유사 반응),심한 구역/구토/두통/홍조/심계항진,약 복용 중 및 복용 후 48시간 동안 금주,무알코올 맥주,FDA Drug Interactions Guide
메트로니다졸,메트로니다졸,항생제/항원충제,와인,알코올,danger,메트로니다졸이 알코올 대사를 차단(디설피람 유사 반응),심한 구역/구토/두통/홍조/심계항진,약 복용 중 및 복용 후 48시간 동안 금주,무알코올 와인/포도주스,FDA Drug Interactions Guide
이부프로펜,이부프로펜,해열진통소염제,술,알코올,warning,알코올과 이부프로펜 모두 위장 점막 손상,위장 출혈 위험 증가,음주 시 이부프로펜 복용 피하기,무알코올 음료,FDA Drug Interactions Guide
이부프로펜,이부프로펜,해열진통소염제,커피,카페인음료,caution,카페인이 위장 자극을 증가시킬 수 있음,위장 불편감 가능,식후에 복용하세요,물/우유,약학정보원
리튬,탄산리튬,기분안정제,소금,나트륨,warning,나트륨 섭취 변화가 리튬 농도에 영향,저나트륨시 리튬 독성 위험/고나트륨시 효과 감소,일정한 소금 섭취량 유지,저염식 주의,FDA Drug Interactions Guide
리튬,탄산리튬,기분안정제,커피,카페인음료,caution,카페인이 리튬 배설을 증가시킬 수 있음,리튬 농도 감소 가능,카페인 섭취량을 일정하게 유지,디카페인 커피,약학정보원
디곡신,디곡신,강심제,감초,한약재,danger,감초가 저칼륨혈증을 유발하여 디곡신 독성 증가,심장 부정맥/디곡신 독성 위험,감초 및 감초 함유 제품 피하기,-,FDA Drug Interactions Guide
디곡신,디곡신,강심제,고섬유질식품,섬유질,caution,고섬유질이 디곡신 흡수를 감소시킬 수 있음,약물 효과 감소 가능,섬유질 섭취와 약 복용 시간 분리,-,약학정보원
펠로디핀,펠로디핀,칼슘채널차단제(혈압약),자몽,과일,danger,자몽의 푸라노쿠마린이 CYP3A4 효소를 억제,혈중 약물 농도 3배 이상 상승 가능,자몽 및 자몽주스 완전히 피하기,오렌지/사과,FDA Drug Interactions Guide
펠로디핀,펠로디핀,칼슘채널차단제(혈압약),자몽주스,음료,danger,자몽의 푸라노쿠마린이 CYP3A4 효소를 억제,혈중 약물 농도 3배 이상 상승 가능,자몽주스 완전히 피하기,오렌지주스/사과주스,FDA Drug Interactions Guide
사이클로스포린,사이클로스포린,면역억제제,자몽,과일,danger,자몽이 CYP3A4를 억제하여 약물 농도 급상승,면역억제제 독성/신장 손상 위험,자몽 및 자몽주스 완전히 피하기,오렌지/사과,FDA Drug Interactions Guide
사이클로스포린,사이클로스포린,면역억제제,자몽주스,음료,danger,자몽이 CYP3A4를 억제하여 약물 농도 급상승,면역억제제 독성/신장 손상 위험,자몽주스 완전히 피하기,오렌지주스/사과주스,FDA Drug Interactions Guide
타크로리무스,타크로리무스,면역억제제,자몽,과일,danger,자몽이 CYP3A4를 억제하여 약물 농도 상승,면역억제제 독성/신장 손상 위험,자몽 및 자몽주스 완전히 피하기,오렌지/사과,FDA Drug Interactions Guide
타크로리무스,타크로리무스,면역억제제,자몽주스,음료,danger,자몽이 CYP3A4를 억제하여 약물 농도 상승,면역억제제 독성/신장 손상 위험,자몽주스 완전히 피하기,오렌지주스/사과주스,FDA Drug Interactions Guide
클로피도그렐,클로피도그렐,항혈소판제,자몽,과일,caution,자몽이 CYP2C19를 억제하여 활성 대사물 감소,항혈소판 효과 감소 가능,자몽 섭취 최소화,오렌지/사과,DrugBank
MAO억제제,페넬진/트라닐시프로민,항우울제,치즈,발효식품,danger,치즈의 티라민이 MAO억제제와 상호작용,고혈압 위기(두통/구역/혈압급상승),숙성 치즈 완전히 피하기,신선한 치즈(코티지치즈),FDA Drug Interactions Guide
MAO억제제,페넬진/트라닐시프로민,항우울제,와인,알코올,danger,와인의 티라민이 MAO억제제와 상호작용,고혈압 위기(두통/구역/혈압급상승),와인 및 발효 알코올 음료 피하기,물/주스,FDA Drug Interactions Guide
MAO억제제,페넬진/트라닐시프로민,항우울제,간장,발효식품,danger,간장의 티라민이 MAO억제제와 상호작용,고혈압 위기,간장 및 발효 소스 피하기,소금,FDA Drug Interactions Guide
프로프라놀롤,프로프라놀롤염산염,베타차단제(혈압약),고단백식사,단백질,caution,고단백 식사가 프로프라놀롤 흡수를 증가시킴,약물 효과 증가 가능,일정한 식사 패턴 유지,-,약학정보원
프로프라놀롤,프로프라놀롤염산염,베타차단제(혈압약),자몽주스,음료,caution,자몽이 CYP효소에 영향,약물 농도 변동 가능,자몽주스 섭취 최소화,오렌지주스,DrugBank
칼륨보존이뇨제,스피로노락톤,이뇨제,바나나,과일,warning,바나나의 높은 칼륨이 고칼륨혈증 위험 증가,심장 부정맥/근육 약화 위험,칼륨 풍부 식품 과다 섭취 주의,사과/배,약학정보원
칼륨보존이뇨제,스피로노락톤,이뇨제,오렌지주스,음료,warning,오렌지주스의 칼륨이 고칼륨혈증 위험 증가,심장 부정맥/근육 약화 위험,칼륨 풍부 음료 과다 섭취 주의,사과주스,약학정보원
칼륨보존이뇨제,스피로노락톤,이뇨제,소금대체제,조미료,danger,소금대체제의 염화칼륨이 고칼륨혈증 유발,심각한 심장 부정맥 위험,소금대체제 사용 금지,일반 소금(소량),FDA Drug Interactions Guide
